Vitals:
Short Term Values:
Time,avail,swap,si,so,pr,pb,cpu-us,cpu-sy,cpu-id,cpu-wa,cpu-st,cpu-gu,virt,rss-all,rss-anon,rss-file,rss-shm,swdo,cpu-us,cpu-sy,io-of,io-rd,io-wr,thr,heap-comm,heap-used,meta-comm,meta-used,meta-csc,meta-csu,meta-gctr,code,mlc,jthr-num,jthr-nd,jthr-cr,jthr-st,cldg-num,cldg-anon,cls-num,cls-ld,cls-uld,

"2021-04-15 17:44:07","61146228","0","","","11","0","","","","","","","3658100","125160","96768","28392","0","0","","","8","","","30","131072","21224","4864","3836","512","372","21296","7616","0","20","1","","28752","32","11","1491","","",
"2021-04-15 17:44:08","60877648","0","0","0","11","0","51","1","46","0","0","0","3868100","240496","203848","36648","0","0","26","1","9","1729","223","33","131072","12512","16512","15809","1664","1570","21296","15360","0","21","1","1","32852","57","36","3454","1963","0",
"2021-04-15 17:44:09","60860320","0","0","0","8","0","40","0","59","0","0","0","3868100","244604","207956","36648","0","0","19","0","9","92","92","33","131072","49228","17024","16417","1664","1570","21296","16512","0","21","1","0","32852","57","36","3454","0","0",
"2021-04-15 17:44:10","60837232","0","0","0","4","0","28","0","72","0","0","0","3868100","256368","219720","36648","0","0","14","0","9","90","110","33","131072","15102","17536","16974","1664","1573","21296","17536","0","21","1","0","32852","57","36","3460","6","0",
"2021-04-15 17:44:11","60833136","0","0","0","1","0","1","0","99","0","0","0","3868100","259040","222356","36684","0","0","0","0","9","13","10","33","131072","7974","17536","16974","1664","1573","29228","17536","0","21","1","0","32852","57","36","3460","0","0",
"2021-04-15 17:44:12","60833136","0","0","0","1","0","0","0","100","0","0","0","3868100","259640","222956","36684","0","0","0","0","9","17","2","27","131072","8035","17536","16975","1664","1573","29228","17536","0","15","1","0","26684","57","36","3460","0","0",
"2021-04-15 17:44:13","60844736","0","0","0","1","0","0","0","100","0","0","0","3868100","250368","213684","36684","0","0","0","0","9","13","2","26","131072","8035","17536","16975","1664","1573","29228","17536","0","14","1","0","25656","57","36","3460","0","0",
"2021-04-15 17:44:14","60844736","0","0","0","1","0","0","0","100","0","0","0","3868100","250368","213684","36684","0","0","0","0","9","12","1","26","131072","8038","17536","16975","1664","1573","29228","17536","0","14","1","0","25656","57","36","3460","0","0",
"2021-04-15 17:44:15","60844736","0","0","0","1","0","0","0","100","0","0","0","3868100","250368","213684","36684","0","0","0","0","9","12","1","26","131072","8041","17536","16975","1664","1573","29228","17536","0","14","1","0","25656","57","36","3460","0","0",
"2021-04-15 17:44:16","60844736","0","0","0","1","0","0","0","100","0","0","0","3868100","250368","213684","36684","0","0","0","0","9","12","1","26","131072","8041","17536","16975","1664","1573","29228","17536","0","14","1","0","25656","57","36","3460","0","0",
"2021-04-15 17:44:17","60844736","0","0","0","1","0","0","0","100","0","0","0","3868100","250368","213684","36684","0","0","0","0","9","18","2","26","131072","8043","17536","16975","1664","1573","29228","17536","0","14","1","0","25656","57","36","3460","0","0",
"2021-04-15 17:44:18","60844468","0","0","0","1","0","0","0","100","0","0","0","3868100","250604","213920","36684","0","0","0","0","9","12","1","25","131072","8043","17536","16975","1664","1573","29228","17536","0","13","1","0","24628","57","36","3460","0","0",
