Vitals:
Short Term Values:
Time,syst-avail,syst-crt,syst-swap,syst-si,syst-so,syst-p,syst-t,syst-pr,syst-pb,syst-cpu-us,syst-cpu-sy,syst-cpu-id,syst-cpu-wa,syst-cpu-st,syst-cpu-gu,proc-virt,proc-rss-all,proc-rss-anon,proc-rss-file,proc-rss-shm,proc-swdo,proc-cpu-us,proc-cpu-sy,proc-io-of,proc-io-rd,proc-io-wr,proc-thr,jvm-heap-comm,jvm-heap-used,jvm-meta-comm,jvm-meta-used,jvm-meta-csc,jvm-meta-csu,jvm-meta-gctr,jvm-code,jvm-mlc,jvm-jthr-num,jvm-jthr-nd,jvm-jthr-cr,jvm-jthr-st,jvm-cldg-num,jvm-cldg-anon,jvm-cls-num,jvm-cls-ld,jvm-cls-uld,

"2021-04-15 17:44:07","61112812","35","0","","","492","1269","11","0","","","","","","","3863916","101920","72592","29328","0","0","","","8","","","33","131072","20156","3968","3753","448","338","21248","8000","0","23","1","","31836","32","11","1513","","",
"2021-04-15 17:44:08","60874652","35","0","0","0","492","1277","11","0","51","1","48","0","0","0","4207056","248524","211352","37172","0","0","26","0","9","1740","319","38","131072","21557","15808","15619","1600","1506","21248","15232","0","23","1","0","37980","57","36","3439","1926","0",
"2021-04-15 17:44:09","60856244","35","0","0","0","492","1277","9","0","39","0","61","0","0","0","4207056","262364","225192","37172","0","0","20","0","9","169","148","38","131072","7946","16512","16261","1600","1506","21248","16576","0","23","1","0","37980","57","36","3439","0","0",
"2021-04-15 17:44:10","60828936","35","0","0","0","492","1275","2","0","27","0","73","0","0","0","4207056","279312","241956","37356","0","0","13","0","9","168","162","36","131072","7817","17024","16840","1600","1509","28416","17472","0","21","1","0","35924","57","36","3445","6","0",
"2021-04-15 17:44:11","60833136","35","0","0","0","492","1275","1","0","0","0","100","0","0","0","4207056","273316","235960","37356","0","0","0","0","9","109","1","36","131072","7817","17024","16840","1600","1509","28416","17472","0","21","1","0","35924","57","36","3445","0","0",
"2021-04-15 17:44:12","60844736","35","0","0","0","492","1264","1","0","0","0","100","0","0","0","4207056","268972","231616","37356","0","0","0","0","9","112","2","32","131072","7836","17024","16840","1600","1509","28416","17472","0","17","1","0","31812","57","36","3445","0","0",
"2021-04-15 17:44:13","60844736","35","0","0","0","492","1264","1","0","0","0","100","0","0","0","4207056","268972","231616","37356","0","0","0","0","9","109","2","32","131072","7836","17024","16840","1600","1509","28416","17472","0","17","1","0","31812","57","36","3445","0","0",
"2021-04-15 17:44:14","60844736","35","0","0","0","492","1257","1","0","0","0","100","0","0","0","4207056","268972","231616","37356","0","0","0","0","9","108","1","32","131072","7838","17024","16840","1600","1509","28416","17472","0","17","1","0","31812","57","36","3445","0","0",
"2021-04-15 17:44:15","60844736","35","0","0","0","492","1257","1","0","0","0","100","0","0","0","4207056","268972","231616","37356","0","0","0","0","9","108","1","32","131072","7841","17024","16840","1600","1509","28416","17472","0","17","1","0","31812","57","36","3445","0","0",
"2021-04-15 17:44:16","60844736","35","0","0","0","492","1257","1","0","0","0","100","0","0","0","4207056","268972","231616","37356","0","0","0","0","9","108","1","32","131072","7841","17024","16840","1600","1509","28416","17472","0","17","1","0","31812","57","36","3445","0","0",
"2021-04-15 17:44:17","60844736","35","0","0","0","492","1256","1","0","0","0","100","0","0","0","4207056","268972","231616","37356","0","0","0","0","9","115","2","32","131072","7843","17024","16840","1600","1509","28416","17472","0","17","1","0","31812","57","36","3445","0","0",
"2021-04-15 17:44:18","60844468","35","0","0","0","492","1255","1","0","0","0","100","0","0","0","4207056","269036","231680","37356","0","0","0","0","9","108","1","31","131072","7843","17024","16840","1600","1509","28416","17472","0","16","1","0","30784","57","36","3445","0","0",
"2021-04-15 17:44:19","60844468","35","0","0","0","492","1255","1","0","0","0","100","0","0","0","4207056","269036","231680","37356","0","0","0","0","9","108","1","31","131072","7846","17024","16840","1600","1509","28416","17472","0","16","1","0","30784","57","36","3445","0","0",
"2021-04-15 17:44:20","60833460","35","0","0","0","491","1240","3","0","1","0","99","0","0","0","4227568","283852","246496","37356","0","0","1","0","9","111","3","33","131072","9287","31680","30769","3136","2559","47808","17536","0","14","1","0","32824","107","36","4775","1330","0",
"2021-04-15 17:44:21","60547208","35","0","0","0","491","1240","3","0","11","0","89","0","0","0","4358640","423736","386380","37356","0","0","5","0","9","117","23","33","131072","27341","170048","169303","12992","12487","225600","17600","0","14","1","0","32824","107","36","17800","13025","0",
"2021-04-15 17:44:22","60408664","36","0","0","0","491","1240","1","0","5","0","96","0","0","0","4415984","487776","450420","37356","0","0","2","0","9","108","11","33","131072","11405","229632","228735","17024","16781","382720","17600","0","14","1","0","32824","107","36","23446","5646","0",
"2021-04-15 17:44:23","60408672","36","0","0","0","491","1239","1","0","0","0","100","0","0","0","4415984","487776","450420","37356","0","0","0","0","9","108","1","33","131072","11405","229632","228735","17024","16781","382720","17600","0","14","1","0","32824","107","36","23446","0","0",
"2021-04-15 17:44:24","60408672","36","0","0","0","491","1239","1","0","0","0","100","0","0","0","4415984","487776","450420","37356","0","0","0","0","9","108","1","33","131072","11405","229632","228735","17024","16781","382720","17600","0","14","1","0","32824","107","36","23446","0","0",
"2021-04-15 17:44:25","60408672","36","0","0","0","491","1239","1","0","0","0","100","0","0","0","4415984","487776","450420","37356","0","0","0","0","9","108","1","33","131072","11405","229632","228735","17024","16781","382720","17600","0","14","1","0","32824","107","36","23446","0","0",
"2021-04-15 17:44:26","60408672","36","0","0","0","491","1239","1","0","0","0","100","0","0","0","4415984","487776","450420","37356","0","0","0","0","9","108","1","33","131072","11405","229632","228735","17024","16781","382720","17600","0","14","1","0","32824","107","36","23446","0","0",
