Vitals:
Short Term Values:
Time,avail,swap,si,so,pr,pb,cpu-us,cpu-sy,cpu-id,cpu-wa,cpu-st,cpu-gu,virt,rss-all,rss-anon,rss-file,rss-shm,swdo,cpu-us,cpu-sy,io-of,io-rd,io-wr,thr,heap-comm,heap-used,meta-comm,meta-used,meta-csc,meta-csu,meta-gctr,code,mlc,jthr-num,jthr-nd,jthr-cr,jthr-st,cldg-num,cldg-anon,cls-num,cls-ld,cls-uld,

"2021-04-15 17:42:05","60470200","0","","","15","0","","","","","","","3857792","123236","94984","28252","0","0","","","8","","","33","131072","21304","4864","3829","512","372","21296","8064","0","23","1","","31836","32","11","1491","","",
"2021-04-15 17:42:06","60224444","0","0","0","11","0","49","1","49","0","0","0","4001228","251184","214768","36416","0","0","26","1","9","1732","214","35","131072","75953","16512","15787","1664","1570","21296","15040","0","23","1","0","34908","57","36","3454","1963","0",
"2021-04-15 17:42:07","60203068","0","0","0","14","0","42","1","57","0","0","0","4001228","262916","226500","36416","0","0","21","0","9","93","92","35","131072","82129","17024","16297","1664","1570","21296","16320","0","23","1","0","34908","57","36","3454","0","0",
"2021-04-15 17:42:08","60186712","0","0","0","5","0","27","0","73","0","0","0","4001228","273240","236724","36516","0","0","13","0","9","90","119","33","131072","7998","17536","16922","1664","1573","29228","17920","0","21","1","0","32852","57","36","3460","6","0",
"2021-04-15 17:42:09","60179992","0","0","0","2","0","1","0","99","0","0","0","4001228","273240","236724","36516","0","0","0","0","9","13","1","33","131072","7998","17536","16922","1664","1573","29228","17920","0","21","1","0","32852","57","36","3460","0","0",
"2021-04-15 17:42:10","60179992","0","0","0","1","0","0","0","100","0","0","0","4001228","273768","237252","36516","0","0","0","0","9","17","1","28","131072","8090","17536","16923","1664","1573","29228","17920","0","16","1","0","27712","57","36","3460","0","0",
"2021-04-15 17:42:11","60199788","0","0","0","1","0","0","0","100","0","0","0","4001228","259376","222860","36516","0","0","0","0","9","14","2","27","131072","8090","17536","16923","1664","1573","29228","17920","0","15","1","0","26684","57","36","3460","0","0",
"2021-04-15 17:42:12","60199788","0","0","0","3","0","0","0","100","0","0","0","4001228","259376","222860","36516","0","0","0","0","9","12","1","27","131072","8093","17536","16923","1664","1573","29228","17920","0","15","1","0","26684","57","36","3460","0","0",
"2021-04-15 17:42:13","60199788","0","0","0","1","0","0","0","100","0","0","0","4001228","259376","222860","36516","0","0","0","0","9","12","1","27","131072","8096","17536","16923","1664","1573","29228","17920","0","15","1","0","26684","57","36","3460","0","0",
"2021-04-15 17:42:14","60199400","0","0","0","2","0","0","0","100","0","0","0","4001228","259376","222860","36516","0","0","0","0","9","12","1","27","131072","8096","17536","16923","1664","1573","29228","17920","0","15","1","0","26684","57","36","3460","0","0",
"2021-04-15 17:42:15","60199400","0","0","0","1","0","0","0","100","0","0","0","4001228","259376","222860","36516","0","0","0","0","9","18","2","27","131072","8098","17536","16923","1664","1573","29228","17920","0","15","1","0","26684","57","36","3460","0","0",
"2021-04-15 17:42:16","60199400","0","0","0","1","0","0","0","100","0","0","0","4001228","259508","222992","36516","0","0","0","0","9","12","1","25","131072","8098","17536","16923","1664","1573","29228","17920","0","13","1","0","24628","57","36","3460","0","0",
"2021-04-15 17:42:17","60199400","0","0","0","1","0","0","0","100","0","0","0","4001228","259508","222992","36516","0","0","0","0","9","12","1","25","131072","8101","17536","16923","1664","1573","29228","17920","0","13","1","0","24628","57","36","3460","0","0",
"2021-04-15 17:42:18","60195872","0","0","0","3","0","0","0","99","0","0","0","4005324","264144","227628","36516","0","0","0","0","9","14","2","25","131072","10045","22400","21479","2176","1914","29228","17920","0","13","1","0","24628","68","36","3887","427","0",
