Vitals:
Short Term Values:
Time,syst-avail,syst-crt,syst-swap,syst-si,syst-so,syst-p,syst-t,syst-pr,syst-pb,syst-cpu-us,syst-cpu-sy,syst-cpu-id,syst-cpu-wa,syst-cpu-st,syst-cpu-gu,proc-virt,proc-rss-all,proc-rss-anon,proc-rss-file,proc-rss-shm,proc-swdo,proc-cpu-us,proc-cpu-sy,proc-io-of,proc-io-rd,proc-io-wr,proc-thr,jvm-heap-comm,jvm-heap-used,jvm-meta-comm,jvm-meta-used,jvm-meta-csc,jvm-meta-csu,jvm-meta-gctr,jvm-code,jvm-mlc,jvm-jthr-num,jvm-jthr-nd,jvm-jthr-cr,jvm-jthr-st,jvm-cldg-num,jvm-cldg-anon,jvm-cls-num,jvm-cls-ld,jvm-cls-uld,

"2021-04-15 17:42:05","60466168","37","0","","","492","1311","11","0","","","","","","","3930480","121296","91936","29360","0","0","","","8","","","34","131072","20156","3968","3769","448","338","21248","8064","0","24","1","","32864","32","11","1513","","",
"2021-04-15 17:42:06","60221924","37","0","0","0","492","1317","12","0","49","1","49","0","0","0","4273620","249444","212240","37204","0","0","23","1","9","1738","306","39","131072","33601","15744","15578","1600","1506","21248","15232","0","24","1","0","39008","57","36","3439","1926","0",
"2021-04-15 17:42:07","60203068","37","0","0","0","492","1317","12","0","42","1","57","0","0","0","4273620","255400","218196","37204","0","0","22","0","9","171","142","39","131072","25996","16320","16139","1600","1506","21248","16512","0","24","1","0","39008","57","36","3439","0","0",
"2021-04-15 17:42:08","60186460","37","0","0","0","492","1314","4","0","27","0","74","0","0","0","4273620","262456","225252","37204","0","0","14","0","9","174","157","38","131072","23898","17024","16774","1600","1509","21248","17792","0","23","1","0","37980","57","36","3445","6","0",
"2021-04-15 17:42:09","60179992","37","0","0","0","492","1314","1","0","1","0","100","0","0","0","4273620","270068","232772","37296","0","0","1","0","9","110","21","38","131072","7848","17024","16774","1600","1509","28416","17856","0","23","1","0","37980","57","36","3445","0","0",
"2021-04-15 17:42:10","60199788","37","0","0","0","492","1303","1","0","0","0","100","0","0","0","4273620","262864","225568","37296","0","0","0","0","9","113","2","32","131072","7941","17024","16774","1600","1509","28416","17856","0","17","1","0","31812","57","36","3445","0","0",
"2021-04-15 17:42:11","60199788","37","0","0","0","492","1301","1","0","0","0","100","0","0","0","4273620","262880","225584","37296","0","0","0","0","9","109","2","31","131072","7941","17024","16774","1600","1509","28416","17856","0","16","1","0","30784","57","36","3445","0","0",
"2021-04-15 17:42:12","60199788","37","0","0","0","492","1302","1","0","0","0","100","0","0","0","4273620","262880","225584","37296","0","0","0","0","9","108","1","31","131072","7943","17024","16774","1600","1509","28416","17856","0","16","1","0","30784","57","36","3445","0","0",
"2021-04-15 17:42:13","60199788","37","0","0","0","492","1302","1","0","0","0","100","0","0","0","4273620","262880","225584","37296","0","0","0","0","9","108","1","31","131072","7946","17024","16774","1600","1509","28416","17856","0","16","1","0","30784","57","36","3445","0","0",
