Vitals:
Short Term Values:
Time,avail,swap,si,so,pr,pb,cpu-us,cpu-sy,cpu-id,cpu-wa,cpu-st,cpu-gu,virt,rss-all,rss-anon,rss-file,rss-shm,swdo,cpu-us,cpu-sy,io-of,io-rd,io-wr,thr,heap-comm,heap-used,meta-comm,meta-used,meta-csc,meta-csu,meta-gctr,code,mlc,jthr-num,jthr-nd,jthr-cr,jthr-st,cldg-num,cldg-anon,cls-num,cls-ld,cls-uld,

"2021-04-15 17:48:39","60066932","0","","","18","0","","","","","","","3791228","114572","86260","28312","0","0","","","8","","","32","131072","20753","4864","3825","512","372","21296","7616","0","22","1","","30808","32","11","1491","","",
"2021-04-15 17:48:40","59961964","0","0","0","1","0","19","1","80","0","0","0","3999180","170544","134072","36472","0","0","10","0","9","1714","198","34","131072","6145","14976","14527","1664","1569","24960","11712","0","22","1","1","33880","57","36","3453","1962","0",
"2021-04-15 17:48:41","59928200","0","0","0","1","0","5","0","95","0","0","0","3999180","170928","134456","36472","0","0","0","0","9","15","1","29","131072","6145","14976","14527","1664","1569","24960","11712","0","17","1","0","28740","57","36","3453","0","0",
"2021-04-15 17:48:42","59861288","0","0","0","1","0","11","0","89","0","0","0","3999180","171284","134812","36472","0","0","0","0","9","15","2","25","131072","6145","14976","14527","1664","1569","24960","11712","0","13","1","0","24628","57","36","3453","0","0",
"2021-04-15 17:48:43","59864576","0","0","0","1","0","2","0","98","0","0","0","3999180","171284","134812","36472","0","0","0","0","9","12","1","25","131072","6145","14976","14527","1664","1569","24960","11712","0","13","1","0","24628","57","36","3453","0","0",
"2021-04-15 17:48:44","59894332","0","0","0","1","0","1","0","98","0","0","0","3999180","171284","134812","36472","0","0","0","0","9","15","1","25","131072","6397","14976","14532","1664","1569","24960","11712","0","13","1","0","24628","57","36","3453","0","0",
"2021-04-15 17:48:45","59925288","0","0","0","2","0","2","0","97","0","0","0","3999180","166588","130116","36472","0","0","0","0","9","12","2","25","131072","6397","14976","14532","1664","1569","24960","11712","0","13","1","0","24628","57","36","3453","0","0",
"2021-04-15 17:48:46","59924636","0","0","0","1","0","1","0","99","0","0","0","3999180","166588","130116","36472","0","0","0","0","9","12","1","25","131072","6397","14976","14532","1664","1569","24960","11712","0","13","1","0","24628","57","36","3453","0","0",
"2021-04-15 17:48:47","59924640","0","0","0","1","0","1","0","98","0","0","0","3999180","166588","130116","36472","0","0","0","0","9","12","1","25","131072","6397","14976","14532","1664","1569","24960","11712","0","13","1","0","24628","57","36","3453","0","0",
