Vitals:
Short Term Values:
Time,syst-avail,syst-crt,syst-swap,syst-si,syst-so,syst-p,syst-t,syst-pr,syst-pb,syst-cpu-us,syst-cpu-sy,syst-cpu-id,syst-cpu-wa,syst-cpu-st,syst-cpu-gu,proc-virt,proc-rss-all,proc-rss-anon,proc-rss-file,proc-rss-shm,proc-swdo,proc-cpu-us,proc-cpu-sy,proc-io-of,proc-io-rd,proc-io-wr,proc-thr,jvm-heap-comm,jvm-heap-used,jvm-meta-comm,jvm-meta-used,jvm-meta-csc,jvm-meta-csu,jvm-meta-gctr,jvm-code,jvm-mlc,jvm-jthr-num,jvm-jthr-nd,jvm-jthr-cr,jvm-jthr-st,jvm-cldg-num,jvm-cldg-anon,jvm-cls-num,jvm-cls-ld,jvm-cls-uld,

"2021-04-15 17:48:39","60060168","40","0","","","509","1542","11","0","","","","","","","3930480","121744","92404","29340","0","0","","","8","","","34","131072","20941","3968","3765","448","338","21248","8064","0","24","1","","32864","32","11","1513","","",
"2021-04-15 17:48:40","59961964","40","0","0","0","512","1541","1","0","18","1","81","0","0","0","4207052","181724","144452","37272","0","0","9","0","9","1706","248","35","131072","6288","14464","14317","1600","1504","24128","11648","0","21","1","0","34900","57","36","3436","1923","0",
"2021-04-15 17:48:41","59928200","40","0","0","0","512","1545","1","0","5","0","95","0","0","0","4207052","181904","144632","37272","0","0","0","0","9","115","1","33","131072","6288","14464","14317","1600","1504","24128","11648","0","19","1","0","32844","57","36","3436","0","0",
"2021-04-15 17:48:42","59861288","40","0","0","0","512","1544","1","0","11","0","90","0","0","0","4207052","182200","144868","37332","0","0","0","0","9","116","2","29","131072","6288","14464","14318","1600","1504","24128","11648","0","15","1","0","28732","57","36","3436","0","0",
"2021-04-15 17:48:43","59864576","40","0","0","0","512","1535","1","0","2","0","99","0","0","0","4207052","182200","144868","37332","0","0","0","0","9","113","1","29","131072","6288","14464","14318","1600","1504","24128","11648","0","15","1","0","28732","57","36","3436","0","0",
"2021-04-15 17:48:44","59906032","40","0","0","0","512","1532","3","0","1","0","99","0","0","0","4207052","173104","135772","37332","0","0","0","0","9","115","1","28","131072","6290","14464","14322","1600","1504","24128","11648","0","14","1","0","27704","57","36","3436","0","0",
"2021-04-15 17:48:45","59925036","39","0","0","0","511","1518","1","0","2","0","97","0","0","0","4207052","173104","135772","37332","0","0","0","0","9","113","2","28","131072","6290","14464","14323","1600","1504","24128","11648","0","14","1","0","27704","57","36","3436","0","0",
"2021-04-15 17:48:46","59924636","39","0","0","0","511","1513","1","0","0","0","100","0","0","0","4207052","173104","135772","37332","0","0","0","0","9","112","1","28","131072","6290","14464","14323","1600","1504","24128","11648","0","14","1","0","27704","57","36","3436","0","0",
"2021-04-15 17:48:47","59924640","39","0","0","0","511","1514","1","0","1","0","99","0","0","0","4207052","173104","135772","37332","0","0","0","0","9","112","1","28","131072","6290","14464","14323","1600","1504","24128","11648","0","14","1","0","27704","57","36","3436","0","0",
"2021-04-15 17:48:48","59931336","40","0","0","0","511","1514","1","0","2","0","98","0","0","0","4207052","173104","135772","37332","0","0","0","0","9","112","1","28","131072","6290","14464","14323","1600","1504","24128","11648","0","14","1","0","27704","57","36","3436","0","0",
"2021-04-15 17:48:49","59931144","40","0","0","0","511","1514","1","0","1","0","99","0","0","0","4207052","173104","135772","37332","0","0","0","0","9","118","2","28","131072","6290","14464","14323","1600","1504","24128","11648","0","14","1","0","27704","57","36","3436","0","0",
"2021-04-15 17:48:50","59604416","41","0","0","0","513","1579","4","0","10","1","89","0","0","0","5440108","332064","294732","37332","0","0","5","0","9","125","23","55","131072","18315","124992","86528","17408","7049","202176","11840","0","21","1","7","55380","7942","36","11322","7886","0",
"2021-04-15 17:48:51","59460128","42","0","0","0","513","1578","1","0","4","0","96","0","0","0","5464684","369372","332040","37332","0","0","1","0","9","113","8","55","131072","28555","154560","105887","21632","8536","202176","11840","0","21","1","0","55380","10057","36","13437","2115","0",
"2021-04-15 17:48:52","59459308","42","0","0","0","513","1578","2","0","1","0","99","0","0","0","5464684","369372","332040","37332","0","0","0","0","9","113","1","55","131072","28555","154560","105887","21632","8536","202176","11840","0","21","1","0","55380","10057","36","13437","0","0",
"2021-04-15 17:48:53","59458872","42","0","0","0","513","1578","2","0","1","0","100","0","0","0","5464684","369372","332040","37332","0","0","0","0","9","113","1","55","131072","28555","154560","105887","21632","8536","202176","11840","0","21","1","0","55380","10057","36","13437","0","0",
"2021-04-15 17:48:54","59473356","42","0","0","0","513","1572","1","0","1","0","99","0","0","0","5464684","357892","320560","37332","0","0","0","0","9","115","2","51","131072","28555","154560","105887","21632","8536","202176","11840","0","17","1","0","51268","10057","36","13437","0","0",
"2021-04-15 17:48:55","59473504","42","0","0","0","513","1572","2","0","0","0","100","0","0","0","5464684","357892","320560","37332","0","0","0","0","9","113","1","51","131072","28555","154560","105887","21632","8536","202176","11840","0","17","1","0","51268","10057","36","13437","0","0",
